"articulo","iditem","cod_familia","cod_sub_familia"
"HOJA DE SIERRA DE MANO DE ACERO RAPIDO",401,2,8
"HOJA DE SIERRA TIPO JUNIOR",10712,2,8
"SALBUTAMOL (INHALADOR)",26377,2,13
"SENSOR DE DESGASTE DE PASTILLAS",23009,2,12
"JABON EN POLVO CON ESPUMA CONTROLADA",456,2,6
"BLANQUEADOR CLORADO",14690,2,6
"DETERGENTE BACTERICIDA A BASE DE AMONIO CUATERNARIO",1788,2,6
"DETERGENTE BACTERICIDA",8741,2,6
"LISTON DE MADERA EN PINO NACIONAL",11700,2,7
"CONO DE VIENTO",62422,4,9
"BANDERA NACIONAL",12,2,3
"MORRON (USO HUMANO)",958,2,1
"ZAPALLITO (USO HUMANO)",135,2,1
"ZANAHORIA (USO HUMANO)",133,2,1
"CEBOLLA (USO HUMANO)",121,2,1
"ZAPALLO (USO HUMANO)",134,2,1
"PORTATIL PARA ATRIL",7159,2,9
"PERFIL NORMAL IPN (DOBLE T)",5134,2,8
"PERFIL L DE ALUMINIO",556,2,8
"PAPEL PARA PLOTTER",4141,2,4
"FREEZER HORIZONTAL",7025,4,2
"LAVAVAJILLA",7060,4,2
"ZUECO PARA DAMA",14335,2,3
"TRAJE DE VESTIR PARA DAMA CHAQUETA Y PANTALON",11296,2,3
"PAROXETINA (COMPRIMIDOS)",16974,2,13
"SERVICIO DE TRANSPORTE DE PASAJEROS",13207,3,5
"DISCO DE EMBRAGUE",5444,2,12
"RODAMIENTO DE EMBRAGUE",23986,2,12
"ARMADO DE CAJA DE CAMBIOS",8646,3,7
"PAN FLAUTA",28623,2,1
"AGUA MINERAL",4475,2,1
"CHORIZO",3940,2,1
"LECHUGA (USO HUMANO)",124,2,1
"TOMATE (USO HUMANO)",127,2,1
"TIMOLOL (USO OFTALMICO GOTAS)",17070,2,13
"MANTENIMIENTO DE SERVICIOS HIGIENICOS",28350,3,9
"SERVICIO DE VIGILANCIA",3960,3,9
"REGLETA DE UNION",2096,2,9
"LIMPIEZA DE HOSPITAL",25261,3,9
"IMPRESION DE FOLLETOS",2919,3,2
"CAMION BAROMETRICA",5699,4,5
"MANTENIMIENTO DE FOTOCOPIADORA",1447,3,7
"PINTURA PLASTICA",846,2,6
"SIFON DOBLE PARA PILETA",15338,2,6
"CANASTILLA PARA VALVULA DE RETENCION",15258,2,8
"CANILLA",493,2,8
"KIT DE MANTENIMIENTO PARA FOTOCOPIADORA",11020,2,12
"MANTENIMIENTO DE BALANZA ANALITICA",8876,3,7
"CARTUCHO DE TONER PARA FOTOCOPIADORA",8458,2,9
"MANTENIMIENTO DE SISTEMA DE ALARMA",1123,3,7
"ARROZ (USO HUMANO)",145,2,1
"FIDEOS",151,2,1
"HARINA DE TRIGO (USO HUMANO)",11857,2,1
"HUEVO DE GALLINA",3070,2,1
"COLOCACION DE VIDRIO",7474,3,7
"ARANDELA PLANA DE BRONCE",243,2,8
"PORTALAMPARA PORTATIL",6438,2,9
"MASILLA ACRILICA",1717,2,6
"PROTEINOGRAMA ELECTROFORETICO (PEF) EN SANGRE",33259,3,8
"DOSIFICACION DE TRIIODO TIRONINA (T3)",26501,3,8
"DOSIFICACION DE TIROGLOBULINA",28827,3,8
"DOSIFICACION DE TESTOSTERONA LIBRE",24423,3,8
"DOSIFICACION DE HORMONA PARATIROIDEA (PTH)",26498,3,8
"DOSIFICACION DE FSH Y LH POST ESTIMULO CON LH-RH",27723,3,8
"DOSIFICACION DE CORTISOL EN ORINA",33046,3,8
"DOSIFICACION DE BETA 2 MICROGLOBULINA",24353,3,8
"DETECCION DE VIRUS CITOMEGALOVIRUS (CMV) EN SANGRE",33286,3,8
"DOSIFICACION DE 17 ALFA HIDROXIPROGESTERONA",27670,3,8
"DETECCION DE MARCADOR TUMORAL ONCOGEN BRCA TIPO I",34320,3,8
"DETECCION DE MARCADOR TUMORAL DE OVARIO CA 125",26902,3,8
"DETECCION DE MARCADOR TUMORAL DE MAMA CA 15-3",26650,3,8
"DETECCION DE ANTIGENO CARCINOEMBRIONARIO (CEA)",26803,3,8
"DETECCION DE ANTICUERPOS ANTI-TIROGLOBULINA (ATA)",26697,3,8
"DETECCION DE ANTICUERPOS ANTI-HEPATITIS A (HAV)",26698,3,8
"DETECCION DE ANTICUERPO ANTI - GLIADINA",26671,3,8
"DETECCION DE ANTICUERPO ANTI - ENDOMISIO",26683,3,8
"DETECCION DE ANTICUERPO ANTI - ADN (NATIVO)",26674,3,8
"DETECCION DE ANTICUERPO ANTI - TIROIDEOS",27328,3,8
"DETECCION DE ANTICUERPO ANTI - NUCLEAR (ANA)",26490,3,8
"DETECCION DE ANTICUERPO ANTI - TRANSGLUTAMINASA HUMANA",27241,3,8
"CURVA DE INSULINEMIA",24313,3,8
"ANALISIS DE BETA HCG CUANTITATIVA EN SANGRE Y SUERO",24354,3,8
"PELICULA FOTOGRAFICA NEGATIVO COLOR",7732,2,6
"CABLE DE RED",1861,4,7
"SOBRE POSTAL",11600,2,4
"INSTALACION DE CABLEADO DE RED",9951,3,10
"SERVICIO DE CERRAJERIA",6373,3,7
"IMPRESORA LASER COLOR",9228,10,43
"RODAMIENTO PUNTA DE EJE",28063,2,12
"REPARACION DE ALTERNADOR",7805,3,7
"REPARACION DE PUNTA DE EJE DE EQUIPO DE TRANSPORTE",6032,3,7
"INSTALACION DE EQUIPO DE AIRE ACONDICIONADO",8441,3,9
"REPARACION DE BALANZA",4880,3,7
"DVD DE SOLO LECTURA (DVD-R)",13370,10,43
"CABLE DE ALIMENTACION DE EQUIPO INFORMATICO",1857,10,43
"CABLE USB MACHO HEMBRA",27485,10,43
"MANTENIMIENTO DE ASCENSOR",1873,3,7
"TROFEO",2926,2,8
"DULCE DE MEMBRILLO",180,2,1
"VINILICO PARA PISO",8293,2,6
"CARTUCHO DE TONER PARA IMPRESORA",1880,2,9
"REPARACION DE ASCENSOR",2847,3,7
"SERVICIO DE GUARDIA DE SEGURIDAD",8009,3,9
"PINTURA LATEX AL AGUA",47,2,6
"PINTURA PARA CIELORRASO",52,2,6
"LISTON DE MADERA DE EUCALIPTUS",14053,2,7
"COLA VINILICA",84,2,6
"ALINEACION DE BIELA",14881,3,7
"REPARACION DE VENTANA",10452,3,7
"CARTUCHO DE TONER PARA FAX",7942,2,9
"PAPEL CAMILLA",3705,2,4
"ZAPATO CON SUELA DE GOMA O SIMILAR PARA CABALLERO",14334,2,3
"SERVICIO DE INFORMACION SOBRE MOROSOS (CLEARING)",8049,3,9
"ARRENDAMIENTO DE CENTRAL TELEFONICA",1333,3,5
"CONEXION PARA INTERNET",8040,3,9
"TIMBRE INALAMBRICO",14624,2,9
"LICENCIA PARA SOFTWARE DE PROGRAMA UTILITARIO",25344,5,6
"REPARACION DE CONSOLA DE CONTROL",11878,3,7
"LECHE FRESCA PASTEURIZADA (USO HUMANO)",2988,2,1
"DULCE DE LECHE",172,2,1
"POLVO PARA PREPARAR HELADO",13979,2,1
"QUESO FRESCO (USO HUMANO)",173,2,1
"YOGUR",3502,2,1
"MANTECA",2989,2,1
"POSTRE LACTEO",32871,2,1
"MANTENIMIENTO DE SOFTWARE",13175,3,10
"CINTA ADHESIVA DOBLE FAZ",11060,2,9
"BALDE PLASTICO CON TAPA",29635,2,6
"BANDEJA DE PLASTICO RECTANGULAR",909,2,9
"PALANGANA DE PLASTICO",3028,2,6
"PRECINTO DE PLASTICO",9098,2,6
"HILO DE NYLON TORNEADO (MULTIFILAMENTO)",14585,2,6
"CUBIERTO DESCARTABLE",14313,2,9
"EMBUDO PLASTICO",3724,2,9
"ESCURRIDOR DE VAJILLA",319,2,9
"PLANCHA DE ESPUMA DE POLIESTIRENO",1278,2,6
"FILM SELLADOR TIPO PARAFILM (USO LABORATORIO)",3452,2,9
"JARRA DE PLASTICO",4519,2,9
"NYLON TUBULAR",218,2,6
"PAPELERA DE PLASTICO",201,2,9
"PEINE PARA CABELLO",15993,2,9
"PEINE PIOJICIDA",15995,2,9
"PELELA",16012,2,6
"VASO DESCARTABLE",6922,2,9
"RENOVACION DE LICENCIA DE SOFTWARE",12787,3,10
"PUBLICIDAD EN REVISTAS",4779,3,2
"SERVICIO DE ALMUERZO/CENA",6021,3,9
"BROCHE ONDULADO PARA ENGRAPADORA",882,2,9
"CERAMICA PARA PISO",9952,2,7
"COLA FRIA",1400,2,6
"EXTRACTOR DE AIRE",2550,4,2
"SILLA FIJA METALICA",7450,4,8
"ESCRITORIO CON CUBIERTA DE MELAMINA",7935,4,8
"MESA CON CUBIERTA DE MELAMINA",7909,4,8
"INSTALACION DE RED DE DATOS",15059,3,10
"REPARACION DE PUERTA DE VEHICULO",8624,3,7
"PAPA (USO HUMANO)",125,2,1
"BONIATO (USO HUMANO)",953,2,1
"AJO",120,2,1
"PEREJIL",132,2,1
"SERVICIO DE ALINEACION PARA EQUIPO DE TRANSPORTE",26553,3,7
"PUERTA CORREDIZA",23724,2,12
"EQUIPO DE AIRE ACONDICIONADO SPLIT",4472,4,2
"TESTER",3142,2,9
"SERVICIO DE GOMERIA",11522,3,7
"BATERIA DE 12V (SECA)",10705,2,9
"BASTON DE MANDO",14532,2,9
"PARAGOLPE DELANTERO",5137,2,12
"SOBRE",25292,2,4
"POLLO ENTERO FRESCO",3689,2,1
"CARNE VACUNA (USO HUMANO)",7654,2,1
"VENTILADOR",441,4,2
"SUSCRIPCION A SERVICIOS DE INFORMACION, INVESTIGACION Y ANALISIS",27428,3,9
"PLANCHUELA DE ACERO ALEADO",15465,2,8
"REMACHE DE ACERO",2537,2,8
"LLAVE ALLEN MILIMETRICA",525,2,8
"DESTORNILLADOR PHILIPS",413,2,8
"COLOCACION DE PORTON",12874,3,7
"CERRADURA DE PUERTA",23582,2,12
"ENVIO DE ENCOMIENDAS/PAQUETES FUERA DEL PAIS",751,3,1
"SILLA GIRATORIA DE OFICINA TIPO EJECUTIVO",3756,4,8
"CONFECCION DE HOJA MEMBRETADA",12894,3,2
"FILTRO DE ACEITE DE MOTOR",13544,2,12
"FILTRO DE AIRE DE MOTOR",5231,2,12
"FILTRO DE GASOIL",8278,2,12
"REPARACION DE SILLA DE RUEDAS",38895,3,7
"REPARACION DE CAMILLA",38897,3,7
"CERRADURA DE PUERTA INTERIOR",7993,2,8
"DILUYENTE THINNER",3785,2,6
"GASTOS COMUNES",7853,3,1
"RECARGA DE CARTUCHO DE IMPRESORA",10861,3,7
"SILLA DE PLASTICO GIRATORIA",5529,4,8
"REPARACION DE SILENCIOSO",12637,3,7
"ENGRANAJE DE 5ª PARA EQUIPO DE TRANSPORTE",22631,2,12
"CAJA DE CAMBIOS PARA EQUIPO DE TRANSPORTE",5114,4,7
"ACEITE DE MAQUINA",29517,2,6
"FILTRO DE ACEITE DE CAJA DE CAMBIOS PARA EQUIPO DE TRANSPORTE",10798,2,12
"SOLUCION DE HIPOCLORITO DE SODIO",7738,2,6
"REPARACION DE ARRANQUE (PARA AERONAVE)",69821,3,7
"ARRENDAMIENTO DE FOTOCOPIADORA",6309,3,5
"FIBROSCOPIO",15618,2,9
"CAMBIO DE DE PUNTERO DE DIRECCION",8629,3,7
"MAQUINA LEVANTACRISTALES DERECHA",23923,2,12
"TONER PARA FOTOCOPIADORA",7682,2,9
"POSTPRODUCCION DE AUDIO",14700,3,9
"CONSOLA DE TECHO",23837,2,12
"TARJETA PARA TELEFONO CELULAR",10171,2,9
"ECOGRAFIA DE TIROIDES",33091,3,8
"ECOGRAFIA PAROTIDEA",33095,3,8
"ECOGRAFIA CARDIACA",24451,3,8
"ECOGRAFIA DE PARTES BLANDAS",33090,3,8
"ECOGRAFIA GINECOLOGICA",33105,3,8
"ECODOPPLER FETO-PLACENTARIO",24448,3,8
"ECOGRAFIA TRANSRECTAL C/PUNCION BIOPSICA PROSTATICA",33100,3,8
"PUNCION CITOLOGICA",33349,3,8
"ECOGRAFIA ABDOMINAL",33085,3,8
"ECOGRAFIA RENAL",33097,3,8
"DISQUETE",2088,10,43
"MOUSE OPTICO",12615,2,9
"PUBLICACION DE AVISO FUNEBRE",12026,3,2
"CABLE PARA CARDIODESFIBRILADOR",17639,2,12
"EQUIPO DE POSICIONAMIENTO GLOBAL (GPS)",5668,4,3
"REPARACION DE EQUIPO ODONTOLOGICO",7623,3,7
"REPARACION DE ANTENA DE RADAR",15176,3,7
"VARILLA DE HIERRO REDONDA COMUN (LISA)",404,2,8
"CEMENTO PORTLAND",3563,2,7
"VARILLA DE HIERRO REDONDO TRATADO (TORSIONADO)",405,2,8
"PINTURA ANTIHONGO DE EXTERIORES",6660,2,6
"MANDRIL PARA PIEZA DE MANO",2938,2,9
"IMPRESION DE LIBRO",12569,3,2
"PARANTE DE PUERTA",5465,2,12
"TIRAFONDO",15596,2,8
"PITON ABIERTO",6579,2,8
"CABLE GEMELO ESTEREO BLINDADO",12737,2,9
"INTERRUPTOR PORTATIL PARA BASE",1192,2,9
"TOMACORRIENTE BIPOLAR EXTERIOR COMBINADO 3 LINEA/SCHUKO",27820,2,9
"TINTA PARA DUPLICADOR DIGITAL",7879,2,9
"CHAPA PARA IMPRESION OFFSET",3759,2,9
"TINTA FLEXO",28303,2,9
"ALCOHOL ISOPROPILICO",1531,2,6
"PAPEL OBRA BLANCO (ROLLO)",6215,2,4
"PAPEL DE DIARIO",26813,2,4
"CILINDRO FOTOCONDUCTOR",1133,2,12
"MASTER PARA DUPLICADOR DIGITAL",10379,2,9
"AGUA DE FUENTES (USO GRAFICO)",7535,2,9
"REVELADOR PARA IMPRESORA LASER",13846,2,12
"REVELADOR PARA CHAPA OFFSET POSITIVA (LIQUIDO)",3765,2,9
"TINTA OFFSET",3717,2,9
"CAUCHO PARA IMPRESORA OFFSET",3069,2,9
"TONER PARA IMPRESORA LASER",1878,2,9
"GOMA ARABIGA PARA USO GRAFICO",6024,2,9
"SERVICIO DE FUMIGACION",7373,3,9
"AUTOADHESIVO EXTERIOR",8962,2,4
"TACO PARA PARED",3719,2,9
"MANTENIMIENTO DE RED LAN",14970,3,10
"MANTENIMIENTO OBRAS DE ILUMINACION Y DESTELLANTES",25343,6,1
"CAJA PARA INTERRUPTOR TERMOMAGNETICO",11532,2,9
"CAJA DE CHAPA PARA MEDIDOR CON LLAVE MONOFASICA",8193,2,9
"ALAMBRE DE COBRE FORRADO SUPERPLASTICO",3198,2,9
"ALAMBRE DE ACERO 1 MM",24638,2,9
"REPARACION DE IMPRESORA",1118,3,7
"REVISTA",8489,2,4
"DESODORANTE DE AMBIENTE LIQUIDO",38,2,6
"BALANCEO DE RUEDA",6529,3,7
"NEUMATICO PARA AUTOMOVILES, CAMIONETAS Y MICROBUSES",7570,2,6
"REPARACION DE AUTOCLAVE",11322,3,7
"REACTIVO PARA DETECCION DE ANTIGENO DEL VIRUS DE DIARREA VIRAL BOVINA (DVB)",30232,2,6
"MANTENIMIENTO PREVENTIVO PARA EQUIPOS DE TRANSPORTE (SERVICE)",26518,3,7
"MANTENIMIENTO DE CROMATOGRAFO HPLC",8871,3,7
"JARRA ELECTRICA",37488,4,2
"SELLO DE GOMA",5955,2,9
"TARJETA PERSONAL DE PRESENTACION",7967,2,4
"CAMISA DE VESTIR DE MANGA LARGA PARA CABALLERO",349,2,3
"TRAJE DE VESTIR PARA CABALLERO SIN CHALECO",1041,2,3
"BIBLIORATO DE CARTON",16,2,4
"PAPEL FANFOLD LISO",450,2,4
"BOLIGRAFO",185,2,9
"CARPETA CON ELASTICO",19,2,4
"TRASLADO DE CUERPO",38814,3,9
"BOLSA DE POLIETILENO DE 150 MICRONES",13478,2,6
"AROMATIZADOR DE AMBIENTE",14688,2,6
"LAMPARA DE VAPOR DE MERCURIO ROSCA GOLIATH (E40)",536,2,9
"LAMPARA INCANDESCENTE CON ROSCA EDISON (E27)",714,2,9
"DESODORANTE PARA INODORO",14691,2,6
"JABON NEUTRO LIQUIDO",14697,2,9
"SODA CAUSTICA",482,2,6
"LAMPARA VELA ROSCA EDISON (E27)",31716,2,9
"TUBO FLUORESCENTE T8",284,2,9
"LAMPAZO DE GOMA",217,2,9
"REPASADOR",4497,2,3
"REPARACION DE CUBIERTA PRINCIPAL DE EMBARCACION",68621,3,7
"REPARACION DE CHAPA PARA VEHICULOS",7813,3,7
"PINTURA EN SPRAY",50,2,6
"LIJA DE BANDA DE 100 MM",6553,2,7
"TIRANTE DE PINO BRASIL",978,2,7
"BATERIA DE 12V (GEL) PARA MOTOCICLETA",7740,2,9
"BARRA CENTRAL DE DIRECCION",23542,2,12
"VIDRIO ESMERILADO",1992,2,7
"INSTALACION DE APARATO TELEFONICO",3748,3,9
"REPARACION DE CHAPA Y PINTURA PARA VEHICULOS",7815,3,7
"CARDIODESFIBRILADOR IMPLANTABLE",17878,2,9
"PASAJE EN TRANSPORTE AEREO DE PASAJEROS FUERA DEL PAIS, CONTRATADO EN URUGUAY",816,3,3
"JUEGO DE CUERDAS PARA GUITARRA",6208,2,9
"VALVULA PARA GARRAFA",3376,2,8
"REVELADOR DE PLACA MICROBIANA",28524,2,6
"GUANTES ESTERILES",15521,2,9
"LIBRO",9924,2,4
"REGULADOR DE VOLTAJE PARA GENERADOR ELECTRICO",30106,2,12
"RECTIFICADORES DE SALIDA",22886,2,12
"FUSIBLE 20 AMP. PARA EQUIPO DE TRANSPORTE",23342,2,12
"FUSIBLE 10 AMP. PARA EQUIPO DE TRANSPORTE",23340,2,12
"TELEFONO MOVIL",5273,10,43
"RESPIRADOR (USO MEDICO)",21510,4,3
"REPARACION DE IMPRESORA GRAFICA",6316,3,7
"GUANTES DE AMIANTO (SEGURIDAD PERSONAL - ALTA TEMPERATURA)",14669,2,9
"INCUBADORA",28887,4,3
"BOLSA DE PAPEL MANILA",3103,2,4
"PAPEL AFICHE",4612,2,9
"PAPEL PARA IMPRESORA Y/O FOTOCOPIADORA 80 G/M2",36917,2,4
"DACTILO PINTURA",3045,2,9
"PAPEL CARBONICO UNA FAZ",3697,2,4
"ALFILER DE CABEZA",182,2,9
"PAPEL GLACE",1106,2,9
"CRAYOLA",1103,2,9
"PAPEL DE AFICHE",3440,2,4
"MARCADOR PERMANENTE",13499,2,9
"TEMPERA",3120,2,9
"PINCEL",479,2,9
"CINTA ADHESIVA TRANSPARENTE",186,2,9
"MARCADOR A FIBRA",196,2,9
"PAPEL CREPE",4539,2,9
"COLA PESCADO PARA CARPINTERO",1730,2,6
"CUADERNO TAPA DURA",28394,2,4
"PAPEL GARBANZO",3121,2,9
"MARCADOR DE PLACA",15630,2,9
"LAPICERA DE TINTA LIQUIDA",9047,2,9
"JUEGO DE LAPICERA Y LAPIZ MECANICO",35944,2,9
"PUNZON",8460,2,8
"LIBRETA DE TURNO",6585,2,4
"RODILLO DE POLIURETANO",391,2,9
"CARTULINA",13216,2,4
"PAPEL CELOFAN",4609,2,9
"DACTILOACUARELA METAL",3614,2,9
"PAPEL COMETA",1105,2,9
"BROCHE DE GANCHO",1289,2,9
"ENHEBRADOR PARA LIGADURAS ELASTICAS",39156,2,9
"FICHA BIPOLAR",295,2,9
"LIMPIEZA Y DESOBSTRUCCION DE CANALONES Y CAÑERIAS",8911,3,9
"TRAJE DE VESTIR PARA DAMA BLAZER Y PANTALON",11651,2,3
"LIQUIDO DE FRENOS",416,2,6
"CAMPANA DE FRENO TRASERA",11901,2,12
"CABLE DE FRENO DE MANO TRASERO",23811,2,12
"MANTENIMIENTO DE EQUIPO DE AIRE ACONDICIONADO",3313,3,7
"REPARACION DE COMANDOS DE PEDALERA",36899,3,7
"MOQUETTE",2925,2,3
"COSTO DE ENVIO DE ENCOMIENDA",75412,3,6
"MANTENIMIENTO GENERAL DE FRENOS",26537,3,7
"INTERRUPTOR TERMOMAGNETICO BIPOLAR",736,2,9
"LAMPARA DE VAPOR DE SODIO DE ALTA PRESION SAP (HPS)",2573,2,9
"CONTACTOR TRIPOLAR",727,2,9
"CELULA FOTOELECTRICA",9542,2,9
"TABLERO DE POLIESTER PRENSADO",8930,2,9
"ARRENDAMIENTO DE CAMARA DE FRIO",15021,3,5
"REPARACION DE BOMBA Y/O CILINDRO DE EMBRAGUE DE EQUIPO DE TRANSPORTE",8663,3,7
"ARRANCADOR PARA TUBO FLUORESCENTE",288,2,9
"FUSIBLE TIPO CARTUCHO PARA INSTALACION ELECTRICA",292,2,9
"LAMPARA HALOGENA (E27)",537,2,9
"PERNO DE TACHO",22691,2,12
"LAMPARA HALOGENA ALM",19304,2,12
"REPARACION DE CHAPA DEL SECTOR TRASERO DE VEHICULO",8620,3,7
"IMPRESION DE RECIBOS DE SUELDOS",27194,3,2
"CALCULADORA DE BOLSILLO",5568,4,2
"LUPA PARA ARTES GRAFICAS (CUENTA HILO)",9128,2,9
"SEPARADOR RODAMIENTO EJE CAJA CAMBIO",24012,2,12
"AMORTIGUADORES BALANCINES",23792,2,12
"PAPEL FANFOLD TROQUELADO ESPECIAL",10773,2,4
"REPARACION DE HARDWARE",1117,3,10
"MANTENIMIENTO DE INSTALACIONES INDUSTRIAL",27430,3,7
"REPARACION DE AMORTIGUADOR DE EQUIPO DE TRANSPORTE",8658,3,7
"REACTIVO PARA DETECCION DE ANTICUERPO ANTI-HTLV 1 Y 2",22085,2,6
"ARRENDAMIENTO DE COMPUTADOR (PC)",15007,3,5
"IMPRESION DE FORMULARIO",30409,3,2
