articulo,Total,organismo_sigla
LIMPIEZA INTEGRAL DE LOCALES,0.8,PJ
LIMPIEZA INTEGRAL DE LOCALES,1.3,Presidencia
LIMPIEZA INTEGRAL DE LOCALES,0.1,URSEC
LIMPIEZA INTEGRAL DE LOCALES,44.6,UTE
LIMPIEZA INTEGRAL DE LOCALES,0,UTEC
LIMPIEZA INTEGRAL DE LOCALES,14.1,UdelaR
MINICARGADORA SOBRE RUEDAS,1.4,I. Artigas
MINICARGADORA SOBRE RUEDAS,735.8,I. Rivera
MINICARGADORA SOBRE RUEDAS,0.5,I. Río Negro
MINICARGADORA SOBRE RUEDAS,1.2,I. Treinta y Tres
MINICARGADORA SOBRE RUEDAS,0.5,MDN
MINICARGADORA SOBRE RUEDAS,1.2,MTOP
SERVICIO DE MECANICA AUTOMOTRIZ,0,ANC
SERVICIO DE MECANICA AUTOMOTRIZ,19.7,ANCAP
SERVICIO DE MECANICA AUTOMOTRIZ,0,ANEP
SERVICIO DE MECANICA AUTOMOTRIZ,0,ASSE
SERVICIO DE MECANICA AUTOMOTRIZ,0,FGN
SERVICIO DE MECANICA AUTOMOTRIZ,0.2,MDN
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,MEC
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,MEF
SERVICIO DE MECANICA AUTOMOTRIZ,0.3,MGAP
SERVICIO DE MECANICA AUTOMOTRIZ,1.2,MI
SERVICIO DE MECANICA AUTOMOTRIZ,0,MT
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,MTOP
SERVICIO DE MECANICA AUTOMOTRIZ,2.3,OSE
SERVICIO DE MECANICA AUTOMOTRIZ,0,P. Legislativo
SERVICIO DE VIGILANCIA,43.9,ANCAP
SERVICIO DE VIGILANCIA,0.2,ANEP
SERVICIO DE VIGILANCIA,4.2,ANP
SERVICIO DE VIGILANCIA,17.2,ASSE
SERVICIO DE VIGILANCIA,0.8,BCU
SERVICIO DE VIGILANCIA,0,BPS
SERVICIO DE VIGILANCIA,3.1,BROU
SERVICIO DE VIGILANCIA,0,FGN
SERVICIO DE VIGILANCIA,1,I. Colonia
SERVICIO DE VIGILANCIA,0,I. Flores
SERVICIO DE VIGILANCIA,0.2,I. Florida
SERVICIO DE VIGILANCIA,26.1,I. Montevideo
SERVICIO DE VIGILANCIA,0,I. Salto
SERVICIO DE VIGILANCIA,0.4,I. San José
SERVICIO DE VIGILANCIA,0,INUMET
SERVICIO DE VIGILANCIA,0,JUTEP
SERVICIO DE VIGILANCIA,1.3,MDN
SERVICIO DE VIGILANCIA,0.7,MEC
SERVICIO DE VIGILANCIA,1.1,MEF
SERVICIO DE VIGILANCIA,2.5,MGAP
SERVICIO DE VIGILANCIA,0.1,MI
SERVICIO DE VIGILANCIA,5.7,MIDES
SERVICIO DE VIGILANCIA,0,MIEM
SERVICIO DE VIGILANCIA,1.2,MSP
SERVICIO DE VIGILANCIA,1,MT
SERVICIO DE VIGILANCIA,1.6,MTOP
SERVICIO DE VIGILANCIA,0,MTSS
SERVICIO DE VIGILANCIA,35.3,OSE
SERVICIO DE VIGILANCIA,0,PJ
SERVICIO DE VIGILANCIA,0.5,Presidencia
SERVICIO DE VIGILANCIA,1,URSEC
SERVICIO DE VIGILANCIA,55.2,UTE
SERVICIO DE VIGILANCIA,0,UTEC
SERVICIO DE VIGILANCIA,4.1,UdelaR
