articulo,Total,organismo_sigla
LIMPIEZA INTEGRAL DE LOCALES,1.8,MTOP
LIMPIEZA INTEGRAL DE LOCALES,1.3,MTSS
LIMPIEZA INTEGRAL DE LOCALES,1,MVOTMA
LIMPIEZA INTEGRAL DE LOCALES,12.1,OSE
LIMPIEZA INTEGRAL DE LOCALES,0.1,PJ
LIMPIEZA INTEGRAL DE LOCALES,2.5,Presidencia
LIMPIEZA INTEGRAL DE LOCALES,41.2,UTE
LIMPIEZA INTEGRAL DE LOCALES,0,UTEC
LIMPIEZA INTEGRAL DE LOCALES,3.4,UdelaR
SERVICIO DE CONSULTORIA,0.5,ANC
SERVICIO DE CONSULTORIA,27.5,ANCAP
SERVICIO DE CONSULTORIA,0.2,ANEP
SERVICIO DE CONSULTORIA,0,ANV
SERVICIO DE CONSULTORIA,5,ASSE
SERVICIO DE CONSULTORIA,0,BCU
SERVICIO DE CONSULTORIA,1.2,BHU
SERVICIO DE CONSULTORIA,0,BPS
SERVICIO DE CONSULTORIA,3.2,BSE
SERVICIO DE CONSULTORIA,3,Div.Créd.
SERVICIO DE CONSULTORIA,0.1,I. Cerro Largo
SERVICIO DE CONSULTORIA,7.2,I. Montevideo
SERVICIO DE CONSULTORIA,0.2,I. Paysandú
SERVICIO DE CONSULTORIA,0.2,I. Salto
SERVICIO DE CONSULTORIA,0.2,INAU
SERVICIO DE CONSULTORIA,0,INUMET
SERVICIO DE CONSULTORIA,0,MDN
SERVICIO DE CONSULTORIA,0,MEC
SERVICIO DE CONSULTORIA,0.3,MEF
SERVICIO DE CONSULTORIA,3,MGAP
SERVICIO DE CONSULTORIA,0.3,MI
SERVICIO DE CONSULTORIA,37.7,MIDES
SERVICIO DE CONSULTORIA,0.3,MIEM
SERVICIO DE CONSULTORIA,0,MRREE
SERVICIO DE CONSULTORIA,0,MSP
SERVICIO DE CONSULTORIA,0.4,MT
SERVICIO DE CONSULTORIA,0.4,MTOP
SERVICIO DE CONSULTORIA,0.9,OSE
SERVICIO DE CONSULTORIA,0,PJ
SERVICIO DE CONSULTORIA,4.6,Presidencia
SERVICIO DE CONSULTORIA,2.6,UTE
SERVICIO DE CONSULTORIA,2.7,UTEC
SERVICIO DE CONSULTORIA,0.3,UdelaR
SERVICIO DE MECANICA AUTOMOTRIZ,0,ANC
SERVICIO DE MECANICA AUTOMOTRIZ,4.5,ANCAP
SERVICIO DE MECANICA AUTOMOTRIZ,0,ANEP
SERVICIO DE MECANICA AUTOMOTRIZ,0,ASSE
SERVICIO DE MECANICA AUTOMOTRIZ,0,INISA
SERVICIO DE MECANICA AUTOMOTRIZ,0,MDN
SERVICIO DE MECANICA AUTOMOTRIZ,0,MEC
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,MEF
SERVICIO DE MECANICA AUTOMOTRIZ,0.3,MGAP
SERVICIO DE MECANICA AUTOMOTRIZ,1,MI
SERVICIO DE MECANICA AUTOMOTRIZ,0,MIEM
SERVICIO DE MECANICA AUTOMOTRIZ,0,MT
SERVICIO DE MECANICA AUTOMOTRIZ,0,P. Legislativo
SERVICIO DE MECANICA AUTOMOTRIZ,0,Presidencia
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,UdelaR
SERVICIO DE VIGILANCIA,0,AFE
SERVICIO DE VIGILANCIA,0.2,ANC
SERVICIO DE VIGILANCIA,52.5,ANCAP
SERVICIO DE VIGILANCIA,2.6,ANEP
SERVICIO DE VIGILANCIA,5.1,ANP
SERVICIO DE VIGILANCIA,11.1,ASSE
SERVICIO DE VIGILANCIA,0.9,BCU
SERVICIO DE VIGILANCIA,0,FGN
SERVICIO DE VIGILANCIA,0.1,I. Canelones
SERVICIO DE VIGILANCIA,0.1,I. Florida
SERVICIO DE VIGILANCIA,66.6,I. Montevideo
SERVICIO DE VIGILANCIA,0,I. Salto
SERVICIO DE VIGILANCIA,0,INC
SERVICIO DE VIGILANCIA,0,INUMET
SERVICIO DE VIGILANCIA,0,JUTEP
SERVICIO DE VIGILANCIA,0.2,MDN
SERVICIO DE VIGILANCIA,5.2,MEC
SERVICIO DE VIGILANCIA,2.5,MEF
SERVICIO DE VIGILANCIA,4.1,MGAP
SERVICIO DE VIGILANCIA,0.1,MI
SERVICIO DE VIGILANCIA,0,MIDES
SERVICIO DE VIGILANCIA,0.5,MIEM
SERVICIO DE VIGILANCIA,0.1,MSP
SERVICIO DE VIGILANCIA,0.1,MT
SERVICIO DE VIGILANCIA,4.2,MTOP
SERVICIO DE VIGILANCIA,0,MTSS
SERVICIO DE VIGILANCIA,0.2,MVOTMA
SERVICIO DE VIGILANCIA,51.5,OSE
SERVICIO DE VIGILANCIA,0.9,PJ
SERVICIO DE VIGILANCIA,0.5,Presidencia
SERVICIO DE VIGILANCIA,31.1,UTE
SERVICIO DE VIGILANCIA,0,UTEC
SERVICIO DE VIGILANCIA,0.2,UdelaR
