ids,articulo,organismo_sigla,Total
"ANEP-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",ANEP,0
"ASSE-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",ASSE,0
"INAU-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",INAU,0.7
"MDN-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",MDN,0
"MI-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",MI,0
"Presidencia-DIETA, RACION, COMIDA PREPARADA","DIETA, RACION, COMIDA PREPARADA",Presidencia,0
ANC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANC,9.9
ANEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANEP,5
ANP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANP,3.3
ASSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ASSE,0.1
BCU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BCU,1.1
BPS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BPS,4.2
BROU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BROU,0.5
BSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BSE,0.5
Div.Créd.-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Div.Créd.,0
FGN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,FGN,0.3
I. Canelones-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Canelones,0.9
I. Colonia-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Colonia,0
I. Montevideo-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Montevideo,15.7
I. Rivera-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Rivera,0
INAU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INAU,9.4
INC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INC,0.1
INUMET-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INUMET,0.2
JUTEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,JUTEP,0
MDN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MDN,0.9
MEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MEC,2.5
MEF-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MEF,8.2
MGAP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MGAP,2.7
MI-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MI,2.4
MIDES-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MIDES,2.9
MIEM-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MIEM,0.3
MRREE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MRREE,1.1
MSP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MSP,0.3
MT-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MT,0.1
MTOP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MTOP,0.4
MTSS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MTSS,0.6
OSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,OSE,3.2
PJ-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,PJ,0.5
Presidencia-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Presidencia,1.4
TC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,TC,0.2
UTE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UTE,15.1
UTEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UTEC,0
UdelaR-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UdelaR,6.2
ANC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANC,0.7
ANEP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANEP,0.1
ANP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANP,0.6
ASSE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ASSE,0
BCU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BCU,1.4
BHU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BHU,0.1
BPS-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BPS,0
BROU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BROU,25.5
BSE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BSE,2
Div.Créd.-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,Div.Créd.,56.4
FGN-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,FGN,0.6
I. Canelones-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Canelones,0.1
I. Colonia-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Colonia,3.4
I. Montevideo-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Montevideo,12
INAU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,INAU,1
INC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,INC,0.2
INUMET-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,INUMET,0.2
MEC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MEC,0
MEF-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MEF,3.5
MGAP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MGAP,0.2
MI-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MI,6.1
MIDES-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MIDES,72.2
MIEM-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MIEM,5
MRREE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MRREE,0
MSP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MSP,0.1
MT-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MT,1.1
MTOP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MTOP,0.7
OSE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,OSE,3.4
P. Legislativo-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,P. Legislativo,0
Presidencia-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,Presidencia,8
UTE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,UTE,7.2
UTEC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,UTEC,0.8
I. Montevideo-SERVICIO DE MONTAJE Y OPERACION DE CENTRO DE GESTION,SERVICIO DE MONTAJE Y OPERACION DE CENTRO DE GESTION,I. Montevideo,239.6
ASSE-SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,ASSE,0
MEC-SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,MEC,0.1
MGAP-SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,MGAP,0
ANC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANC,0
ANEP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANEP,0.2
ANP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANP,6.6
ASSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ASSE,1.9
BPS-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,BPS,0
BSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,BSE,4.7
FGN-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,FGN,0
I. Canelones-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Canelones,0.3
I. Maldonado-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Maldonado,0.3
I. Montevideo-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Montevideo,19.7
I. Paysandú-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Paysandú,0.4
I. Salto-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Salto,0
INAU-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,INAU,0.1
INUMET-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,INUMET,0.1
JUTEP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,JUTEP,0
MEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MEC,2.4
MEF-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MEF,1.3
MGAP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MGAP,2.8
MI-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MI,0
MIDES-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MIDES,2.8
MIEM-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MIEM,0.1
MSP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MSP,0
MT-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MT,0.1
MTOP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MTOP,1.7
MTSS-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MTSS,0
OSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,OSE,15.6
PJ-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,PJ,1.6
Presidencia-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,Presidencia,1.8
UTE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UTE,25.9
UTEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UTEC,0
UdelaR-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UdelaR,0
ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),,ARRENDAMIENTO DE CAMARA DE VIDEO PARA CIRCUITO CERRADO DE TV (CCTV),4.699999999999999
COMISION POR EMISION DE TICKET,,COMISION POR EMISION DE TICKET,380.1
CONTRATACION DE MANO DE OBRA,,CONTRATACION DE MANO DE OBRA,328.5
CONTRATACION DE SERVICIOS PROFESIONALES,,CONTRATACION DE SERVICIOS PROFESIONALES,62.4
"DIETA, RACION, COMIDA PREPARADA",,"DIETA, RACION, COMIDA PREPARADA",0.7
LIMPIEZA INTEGRAL DE LOCALES,,LIMPIEZA INTEGRAL DE LOCALES,100.2
SERVICIO DE CONSULTORIA,,SERVICIO DE CONSULTORIA,212.6
SERVICIO DE MONTAJE Y OPERACION DE CENTRO DE GESTION,,SERVICIO DE MONTAJE Y OPERACION DE CENTRO DE GESTION,239.6
SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,,SERVICIO DE RECEPCION Y ADMISION DE USUARIOS,0.1
SERVICIO DE VIGILANCIA,,SERVICIO DE VIGILANCIA,90.39999999999999
