organismo_sigla,trimestre,monto_total,anio,tri,Trimestre,monto_cuartil,cuartil
JUTEP,2021.2,0,2021,2,18,Cuartil 1,1
JUTEP,2021.3,1,2021,3,19,Cuartil 1,1
JUTEP,2021.4,0,2021,4,20,Cuartil 1,1
P. Legislativo,2021.1,4,2021,1,17,Cuartil 3,3
P. Legislativo,2021.2,16,2021,2,18,Cuartil 4,4
P. Legislativo,2021.3,11,2021,3,19,Cuartil 3,3
P. Legislativo,2021.4,13,2021,4,20,Cuartil 3,3
PJ,2021.1,20,2021,1,17,Cuartil 4,4
PJ,2021.2,7,2021,2,18,Cuartil 3,3
PJ,2021.3,13,2021,3,19,Cuartil 3,3
PJ,2021.4,19,2021,4,20,Cuartil 4,4
TC,2021.1,0,2021,1,17,Cuartil 1,1
TC,2021.3,0,2021,3,19,Cuartil 1,1
TC,2021.4,1,2021,4,20,Cuartil 1,1
TCA,2021.2,0,2021,2,18,Cuartil 1,1
TCA,2021.3,0,2021,3,19,Cuartil 1,1
TCA,2021.4,1,2021,4,20,Cuartil 1,1
