ids,articulo,organismo_sigla,Total
I. Montevideo-ELABORACION DE PROYECTO DE OBRA,ELABORACION DE PROYECTO DE OBRA,I. Montevideo,442.5
I. Salto-ELABORACION DE PROYECTO DE OBRA,ELABORACION DE PROYECTO DE OBRA,I. Salto,1.4
MDN-ELABORACION DE PROYECTO DE OBRA,ELABORACION DE PROYECTO DE OBRA,MDN,0
MEC-ELABORACION DE PROYECTO DE OBRA,ELABORACION DE PROYECTO DE OBRA,MEC,0
MI-ELABORACION DE PROYECTO DE OBRA,ELABORACION DE PROYECTO DE OBRA,MI,0.1
MRREE-ELABORACION DE PROYECTO DE OBRA,ELABORACION DE PROYECTO DE OBRA,MRREE,0.1
ANC-GASOIL COMUN,GASOIL COMUN,ANC,1.3
ANCAP-GASOIL COMUN,GASOIL COMUN,ANCAP,0.1
I. Montevideo-GASOIL COMUN,GASOIL COMUN,I. Montevideo,0
AFE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,AFE,0
ANC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANC,2.3
ANCAP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANCAP,28.3
ANEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANEP,6.3
ANP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ANP,2.5
ASSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,ASSE,0.3
BPS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BPS,7.4
BROU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BROU,2
BSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,BSE,0.1
Div.Créd.-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Div.Créd.,0.1
FGN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,FGN,1
I. Canelones-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Canelones,1.6
I. Colonia-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Colonia,0.1
I. Montevideo-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,I. Montevideo,28.3
INAU-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INAU,0.3
INC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INC,0.1
INISA-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INISA,0
INUMET-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,INUMET,0.2
JUTEP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,JUTEP,0
MDN-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MDN,0.5
MEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MEC,4.6
MEF-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MEF,5.2
MGAP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MGAP,3.3
MI-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MI,4.8
MIDES-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MIDES,4.2
MIEM-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MIEM,0
MRREE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MRREE,0.5
MSP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MSP,0.2
MT-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MT,0.1
MTOP-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MTOP,1.8
MTSS-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MTSS,1.3
MVOTMA-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,MVOTMA,1
OSE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,OSE,12.1
PJ-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,PJ,0.1
Presidencia-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,Presidencia,2.5
UTE-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UTE,41.2
UTEC-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UTEC,0
UdelaR-LIMPIEZA INTEGRAL DE LOCALES,LIMPIEZA INTEGRAL DE LOCALES,UdelaR,3.4
ANC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANC,0.5
ANCAP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANCAP,27.5
ANEP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANEP,0.2
ANV-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ANV,0
ASSE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,ASSE,5
BCU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BCU,0
BHU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BHU,1.2
BPS-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BPS,0
BSE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,BSE,3.2
Div.Créd.-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,Div.Créd.,3
I. Cerro Largo-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Cerro Largo,0.1
I. Montevideo-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Montevideo,7.2
I. Paysandú-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Paysandú,0.2
I. Salto-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,I. Salto,0.2
INAU-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,INAU,0.2
INUMET-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,INUMET,0
MDN-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MDN,0
MEC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MEC,0
MEF-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MEF,0.3
MGAP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MGAP,3
MI-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MI,0.3
MIDES-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MIDES,37.7
MIEM-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MIEM,0.3
MRREE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MRREE,0
MSP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MSP,0
MT-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MT,0.4
MTOP-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,MTOP,0.4
OSE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,OSE,0.9
PJ-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,PJ,0
Presidencia-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,Presidencia,4.6
UTE-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,UTE,2.6
UTEC-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,UTEC,2.7
UdelaR-SERVICIO DE CONSULTORIA,SERVICIO DE CONSULTORIA,UdelaR,0.3
ANC-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ANC,0
ANCAP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ANCAP,4.5
ANEP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ANEP,0
ASSE-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,ASSE,0
INISA-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,INISA,0
MDN-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MDN,0
MEC-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MEC,0
MEF-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MEF,0.1
MGAP-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MGAP,0.3
MI-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MI,1
MIEM-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MIEM,0
MT-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,MT,0
P. Legislativo-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,P. Legislativo,0
Presidencia-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,Presidencia,0
UdelaR-SERVICIO DE MECANICA AUTOMOTRIZ,SERVICIO DE MECANICA AUTOMOTRIZ,UdelaR,0.1
AFE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,AFE,0
ANC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANC,0.2
ANCAP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANCAP,52.5
ANEP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANEP,2.6
ANP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ANP,5.1
ASSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,ASSE,11.1
BCU-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,BCU,0.9
FGN-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,FGN,0
I. Canelones-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Canelones,0.1
I. Florida-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Florida,0.1
I. Montevideo-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Montevideo,66.6
I. Salto-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,I. Salto,0
INC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,INC,0
INUMET-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,INUMET,0
JUTEP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,JUTEP,0
MDN-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MDN,0.2
MEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MEC,5.2
MEF-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MEF,2.5
MGAP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MGAP,4.1
MI-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MI,0.1
MIDES-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MIDES,0
MIEM-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MIEM,0.5
MSP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MSP,0.1
MT-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MT,0.1
MTOP-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MTOP,4.2
MTSS-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MTSS,0
MVOTMA-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,MVOTMA,0.2
OSE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,OSE,51.5
PJ-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,PJ,0.9
Presidencia-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,Presidencia,0.5
UTE-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UTE,31.1
UTEC-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UTEC,0
UdelaR-SERVICIO DE VIGILANCIA,SERVICIO DE VIGILANCIA,UdelaR,0.2
ALCOHOL ETILICO EUCALIPTADO (ETANOL),,ALCOHOL ETILICO EUCALIPTADO (ETANOL),0.1
ARRENDAMIENTO DE LOCAL,,ARRENDAMIENTO DE LOCAL,14.3
ARRENDAMIENTO DE SALA DE JUEGO,,ARRENDAMIENTO DE SALA DE JUEGO,4.6
CONTRATACION DE MANO DE OBRA,,CONTRATACION DE MANO DE OBRA,395.59999999999997
ELABORACION DE PROYECTO DE OBRA,,ELABORACION DE PROYECTO DE OBRA,444.1
GASOIL COMUN,,GASOIL COMUN,1.4000000000000001
LIMPIEZA INTEGRAL DE LOCALES,,LIMPIEZA INTEGRAL DE LOCALES,167.70000000000002
SERVICIO DE CONSULTORIA,,SERVICIO DE CONSULTORIA,102
SERVICIO DE MECANICA AUTOMOTRIZ,,SERVICIO DE MECANICA AUTOMOTRIZ,6
SERVICIO DE VIGILANCIA,,SERVICIO DE VIGILANCIA,240.6
