articulo,Total,organismo_sigla
RENOVACION DE LICENCIA DE SOFTWARE,0.2,PJ
RENOVACION DE LICENCIA DE SOFTWARE,1,Presidencia
RENOVACION DE LICENCIA DE SOFTWARE,0,TC
RENOVACION DE LICENCIA DE SOFTWARE,0.8,UTE
RENOVACION DE LICENCIA DE SOFTWARE,0,UTEC
RENOVACION DE LICENCIA DE SOFTWARE,1,UdelaR
SERVICIO DE CONSULTORIA,0.2,ANC
SERVICIO DE CONSULTORIA,0.6,ANEP
SERVICIO DE CONSULTORIA,10.8,ASSE
SERVICIO DE CONSULTORIA,1.2,BCU
SERVICIO DE CONSULTORIA,5.9,BHU
SERVICIO DE CONSULTORIA,0.1,BPS
SERVICIO DE CONSULTORIA,17.1,BROU
SERVICIO DE CONSULTORIA,2,BSE
SERVICIO DE CONSULTORIA,13,Div.Créd.
SERVICIO DE CONSULTORIA,0.1,FGN
SERVICIO DE CONSULTORIA,1.9,I. Canelones
SERVICIO DE CONSULTORIA,14.4,I. Montevideo
SERVICIO DE CONSULTORIA,2.4,I. Salto
SERVICIO DE CONSULTORIA,0.3,INAU
SERVICIO DE CONSULTORIA,0,INC
SERVICIO DE CONSULTORIA,0.5,INUMET
SERVICIO DE CONSULTORIA,0.3,MEC
SERVICIO DE CONSULTORIA,1.2,MEF
SERVICIO DE CONSULTORIA,0.2,MI
SERVICIO DE CONSULTORIA,18.5,MIDES
SERVICIO DE CONSULTORIA,0.4,MIEM
SERVICIO DE CONSULTORIA,0,MRREE
SERVICIO DE CONSULTORIA,0.6,MSP
SERVICIO DE CONSULTORIA,1.8,MT
SERVICIO DE CONSULTORIA,0.4,MTOP
SERVICIO DE CONSULTORIA,0.4,MVOTMA
SERVICIO DE CONSULTORIA,0.4,OSE
SERVICIO DE CONSULTORIA,0.1,P. Legislativo
SERVICIO DE CONSULTORIA,8.8,Presidencia
SERVICIO DE CONSULTORIA,15,UTE
SERVICIO DE CONSULTORIA,0,UTEC
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,ANC
SERVICIO DE MECANICA AUTOMOTRIZ,0,ANEP
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,ASSE
SERVICIO DE MECANICA AUTOMOTRIZ,0.1,BPS
SERVICIO DE MECANICA AUTOMOTRIZ,0,MEC
SERVICIO DE MECANICA AUTOMOTRIZ,0,MEF
SERVICIO DE MECANICA AUTOMOTRIZ,0.4,MGAP
SERVICIO DE MECANICA AUTOMOTRIZ,4.1,MI
SERVICIO DE MECANICA AUTOMOTRIZ,0,MT
SERVICIO DE MECANICA AUTOMOTRIZ,0.3,OSE
SERVICIO DE MECANICA AUTOMOTRIZ,0,P. Legislativo
SERVICIO DE VIGILANCIA,0.3,ANC
SERVICIO DE VIGILANCIA,2.9,ANEP
SERVICIO DE VIGILANCIA,0.6,ANP
SERVICIO DE VIGILANCIA,0.1,ASSE
SERVICIO DE VIGILANCIA,0,BPS
SERVICIO DE VIGILANCIA,3.5,BSE
SERVICIO DE VIGILANCIA,0,Div.Créd.
SERVICIO DE VIGILANCIA,0.2,FGN
SERVICIO DE VIGILANCIA,0.7,I. Canelones
SERVICIO DE VIGILANCIA,74.7,I. Montevideo
SERVICIO DE VIGILANCIA,0,I. Paysandú
SERVICIO DE VIGILANCIA,0,I. Salto
SERVICIO DE VIGILANCIA,0.1,I. San José
SERVICIO DE VIGILANCIA,0,INUMET
SERVICIO DE VIGILANCIA,0,JUTEP
SERVICIO DE VIGILANCIA,2,MDN
SERVICIO DE VIGILANCIA,1.1,MEC
SERVICIO DE VIGILANCIA,2.7,MEF
SERVICIO DE VIGILANCIA,1.8,MGAP
SERVICIO DE VIGILANCIA,0,MI
SERVICIO DE VIGILANCIA,0.1,MIDES
SERVICIO DE VIGILANCIA,0.3,MIEM
SERVICIO DE VIGILANCIA,0.4,MRREE
SERVICIO DE VIGILANCIA,0,MSP
SERVICIO DE VIGILANCIA,0,MT
SERVICIO DE VIGILANCIA,2.6,MTOP
SERVICIO DE VIGILANCIA,0,MTSS
SERVICIO DE VIGILANCIA,0.4,MVOTMA
SERVICIO DE VIGILANCIA,18.6,OSE
SERVICIO DE VIGILANCIA,3.1,PJ
SERVICIO DE VIGILANCIA,1.1,Presidencia
SERVICIO DE VIGILANCIA,98.4,UTE
SERVICIO DE VIGILANCIA,0,UTEC
SERVICIO DE VIGILANCIA,0.3,UdelaR
SOLUCION DE SODA CAUSTICA,0,ASSE
SOLUCION DE SODA CAUSTICA,0,I. Canelones
SOLUCION DE SODA CAUSTICA,0,MDN
SOLUCION DE SODA CAUSTICA,0,MI
SOLUCION DE SODA CAUSTICA,0,MTOP
SOLUCION DE SODA CAUSTICA,0,OSE
SULFATO DE ALUMINIO,0,ANEP
SULFATO DE ALUMINIO,0,OSE
